City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Inhambane,MZ,-23.86,35.38,68.99,76,100,14.25,overcast clouds
297,Eersel,NL,51.36,5.32,46.0,93,0,4.7,clear sky
298,Puerto Del Rosario,ES,28.5,-13.86,71.6,94,75,11.41,broken clouds
299,College,US,64.86,-147.8,37.4,47,75,6.93,broken clouds
300,Kharan,PK,28.58,65.42,57.81,31,0,10.98,clear sky
301,Mackay,AU,-21.15,149.2,79.0,69,75,19.46,broken clouds
302,Lata,PT,40.16,-8.33,61.0,49,2,5.99,clear sky
303,Taoudenni,ML,22.68,-3.98,90.7,16,56,3.76,broken clouds
304,Ostrovnoy,RU,68.05,39.51,42.08,88,94,6.29,overcast clouds
305,Pedro Carbo,EC,-1.83,-80.23,86.0,51,20,13.87,few clouds
306,Wiarton,CA,44.74,-81.13,48.99,66,20,8.05,few clouds
307,Amahai,ID,-3.33,128.92,82.38,72,97,0.96,overcast clouds
308,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,73.49,42,0,6.73,clear sky
309,Marsh Harbour,BS,26.54,-77.06,82.54,77,99,12.03,overcast clouds
310,Alta Floresta,BR,-9.88,-56.09,76.84,63,92,4.5,overcast clouds
311,Batagay-Alyta,RU,67.8,130.41,15.64,83,0,1.05,clear sky
312,Tatarsk,RU,55.22,75.98,44.85,93,100,8.81,overcast clouds
313,Barra Do Corda,BR,-5.5,-45.25,84.16,45,65,2.64,broken clouds
314,Galle,LK,6.04,80.22,80.13,82,99,16.96,light rain
315,Faya,SA,18.39,42.45,60.8,51,0,3.15,clear sky
316,Asau,RO,46.43,26.4,51.01,98,14,2.01,few clouds
317,Guerrero Negro,MX,27.98,-114.06,73.15,70,0,18.01,clear sky
318,San Carlos De Bariloche,AR,-41.15,-71.31,55.4,32,0,17.22,clear sky
319,Miracema Do Tocantins,BR,-9.56,-48.4,74.03,89,89,2.98,moderate rain
320,Coahuayana,MX,18.73,-103.68,75.2,78,75,11.41,thunderstorm with rain
321,Hohhot,CN,40.81,111.65,26.6,79,0,2.24,clear sky
322,Kungurtug,RU,50.6,97.52,17.65,93,88,0.63,overcast clouds
323,Cap-Aux-Meules,CA,47.38,-61.86,42.8,56,75,20.8,broken clouds
324,Villa Bruzual,VE,9.33,-69.12,75.85,90,96,1.12,overcast clouds
325,San Lawrenz,MT,36.06,14.2,68.0,82,75,4.7,broken clouds
326,Sakakah,SA,29.97,40.21,71.6,14,0,3.36,clear sky
327,Owando,CG,-0.48,15.9,71.8,88,91,1.5,overcast clouds
328,Havelock,US,34.88,-76.9,75.0,92,89,12.3,overcast clouds
329,Palmer,US,42.16,-72.33,51.01,66,75,5.82,broken clouds
330,Longyearbyen,SJ,78.22,15.64,21.2,73,40,5.82,scattered clouds
331,Irpa Irpa,BO,-17.72,-66.27,64.4,39,75,5.82,broken clouds
332,Buzmeyin,TM,38.05,58.21,50.0,34,0,6.93,clear sky
333,Alekseyevka,RU,50.63,38.69,54.79,76,89,10.13,overcast clouds
334,Egvekinot,RU,66.32,-179.17,28.94,94,100,16.35,overcast clouds
335,Dakar,SN,14.69,-17.44,78.8,94,40,4.7,scattered clouds
336,Filadelfia,US,39.95,-75.16,61.0,93,90,9.17,overcast clouds
337,Dolores,AR,-36.31,-57.68,51.37,95,16,7.92,few clouds
338,Sur,OM,22.57,59.53,81.3,71,0,12.19,clear sky
339,Smithers,CA,54.78,-127.17,48.2,61,40,6.93,scattered clouds
340,Acapulco,MX,16.86,-99.89,86.0,70,40,8.05,scattered clouds
341,Zalantun,CN,48.0,122.72,36.59,69,0,14.43,clear sky
342,Te Anau,NZ,-45.42,167.72,54.34,84,86,2.93,overcast clouds
343,Sorland,NO,67.67,12.69,45.25,78,52,20.31,broken clouds
344,Grindavik,IS,63.84,-22.43,44.6,93,75,6.93,shower rain
345,Kaka,TM,37.35,59.61,42.04,56,0,2.77,clear sky
346,Lima,PE,-12.04,-77.03,64.4,77,40,13.87,scattered clouds
347,Xiaoweizhai,CN,26.19,107.51,60.46,81,70,4.61,broken clouds
348,Mount Isa,AU,-20.73,139.5,87.8,16,84,14.99,broken clouds
349,Wagar,SD,16.15,36.2,81.48,37,0,9.19,clear sky
350,Homer,US,59.64,-151.55,50.0,76,40,4.7,scattered clouds
351,Obidos,BR,-1.92,-55.52,82.85,58,37,3.02,scattered clouds
352,Bar Harbor,US,44.39,-68.2,44.01,60,1,4.7,clear sky
353,Alice Springs,AU,-23.7,133.88,75.0,18,0,13.87,clear sky
354,Peyima,SL,8.7,-11.03,70.61,98,99,2.04,moderate rain
355,Kiama,AU,-34.68,150.87,72.0,73,63,3.0,broken clouds
356,Bosaso,SO,11.28,49.18,78.28,60,0,3.91,clear sky
357,Iquitos,PE,-3.75,-73.25,86.0,70,20,2.24,few clouds
358,Hauterive,FR,46.09,3.45,50.0,66,90,5.82,overcast clouds
359,Champerico,GT,14.3,-91.92,87.8,74,20,6.93,few clouds
360,Zeya,RU,53.75,127.27,31.75,96,100,6.04,overcast clouds
361,Diego De Almagro,CL,-26.37,-70.05,56.34,47,0,2.28,clear sky
